City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,Pa Sang,TH,86.34,broken clouds,18.5262,98.9394,โรงแรม จามจุรี 99
665,Kota Kinabalu,MY,82.38,few clouds,5.9749,116.0724,Gaya Centre Hotel
666,Dakar,SN,77.88,few clouds,14.6937,-17.4441,Novotel Dakar
667,Koson,UZ,75.52,clear sky,39.0375,65.585,Jamshid Orziev ning uyi
668,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
669,Murud,IN,76.91,overcast clouds,18.3258,72.965,On Point Plaza
671,Havelock,US,78.75,overcast clouds,34.8791,-76.9013,Sherwood Motel
676,Dalianwan,CN,75.24,light intensity shower rain,39.0286,121.695,Huanghai Hotel
677,Axim,GH,75.49,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
678,Shihezi,CN,81.77,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
679,Pauini,BR,75.7,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
683,Sokoto,NG,82.36,scattered clouds,13.0609,5.239,Grand Ibro Hotel
684,Ewa Beach,US,81.99,overcast clouds,21.3156,-158.0072,Base Lodging
685,Mutsu,JP,75.56,light rain,41.2894,141.2169,Mutsu Park Hotel
